gene,response,n_sources,delta_gene,delta_ntc_mean,delta_ntc_std,excess,z,p,q
Clcn2,score_malignant,66,0.36091325,0.3169563412666321,0.003065118151056189,0.043956906,14.341015,0.0,0.0
Abcc4,score_ifn_response,47,0.10647878,0.14851191639900208,0.02267514214385013,-0.042033136,-1.8537099,0.0637806694238423,0.12887640419662982
Abcc4,score_fibroblast,47,-1.1479081,-1.0666453838348389,0.09155293104163774,-0.08126271,-0.8876036,0.37475402675475245,0.5100818697495242
Abcc4,score_hypoxia,47,0.57800883,0.43627801537513733,0.0078221954696572,0.14173082,18.119059,0.0,0.0
Abcc4,score_macrophage,47,0.0011778325,0.05943596363067627,0.028571207147292357,-0.05825813,-2.0390503,0.04144500363594705,0.09025800791828469
Abcc4,score_cd8_like,47,0.07176207,0.11287952214479446,0.01047361809769778,-0.041117452,-3.9258115,8.64378180660541e-05,0.0002921002127749415
Abcc4,score_endothelial,47,-0.05314149,0.0016970961587503552,0.02258747196060368,-0.054838587,-2.427832,0.015189382161646447,0.03768504941370511
Abcc4,score_malignant,47,0.3968564,0.3169563412666321,0.003065118151056189,0.079900056,26.06753,0.0,0.0
Stat1,score_ifn_response,30,0.13423131,0.14851191639900208,0.02267514214385013,-0.014280602,-0.6297911,0.528831281846623,0.6644290464226802
Stat1,score_fibroblast,30,-1.0465857,-1.0666453838348389,0.09155293104163774,0.020059705,0.219105,0.8265682518655209,0.8804748769871853
Stat1,score_hypoxia,30,0.42907363,0.43627801537513733,0.0078221954696572,-0.0072043836,-0.9210181,0.35704096490513315,0.49631226327238365
Stat1,score_macrophage,30,0.06445016,0.05943596363067627,0.028571207147292357,0.005014196,0.17549822,0.860688171396647,0.8924300654526055
Stat1,score_cd8_like,30,0.1094586,0.11287952214479446,0.01047361809769778,-0.0034209192,-0.3266225,0.743953434086595,0.8296726945404517
Stat1,score_endothelial,30,-0.023125803,0.0016970961587503552,0.02258747196060368,-0.0248229,-1.0989676,0.27178221935894165,0.41944342515238237
Stat1,score_malignant,30,0.31873557,0.3169563412666321,0.003065118151056189,0.0017792284,0.5804763,0.56159347532527,0.6966602605300818
Unc93b1,score_ifn_response,35,0.08041908,0.14851191639900208,0.02267514214385013,-0.06809284,-3.002973,0.0026735607982906195,0.007081323195472452
Unc93b1,score_fibroblast,35,-1.0064032,-1.0666453838348389,0.09155293104163774,0.060242176,0.6580038,0.5105356848349316,0.6524995889295242
Unc93b1,score_hypoxia,35,0.5302584,0.43627801537513733,0.0078221954696572,0.0939804,12.014582,0.0,0.0
Unc93b1,score_macrophage,35,0.031443372,0.05943596363067627,0.028571207147292357,-0.027992591,-0.9797483,0.3272103736011531,0.46812578996953297
Unc93b1,score_cd8_like,35,0.13663872,0.11287952214479446,0.01047361809769778,0.023759194,2.26848,0.023299962848579714,0.054366579980019335
Unc93b1,score_endothelial,35,-0.022098456,0.0016970961587503552,0.02258747196060368,-0.023795553,-1.0534846,0.2921189674491902,0.43375240621243394
Unc93b1,score_malignant,35,0.40713203,0.3169563412666321,0.003065118151056189,0.09017569,29.419971,0.0,0.0
Itgb2,score_ifn_response,36,0.10497514,0.14851191639900208,0.02267514214385013,-0.043536775,-1.9200221,0.0548551041560692,0.11560860660848993
Itgb2,score_fibroblast,36,-1.1265826,-1.0666453838348389,0.09155293104163774,-0.05993724,-0.6546731,0.5126782484446262,0.6524995889295242
Itgb2,score_hypoxia,36,0.4702313,0.43627801537513733,0.0078221954696572,0.03395328,4.3406334,1.4207258986376203e-05,5.1567088172772885e-05
Itgb2,score_macrophage,36,0.005244255,0.05943596363067627,0.028571207147292357,-0.05419171,-1.8967245,0.057864313364639486,0.11813963978613894
Itgb2,score_cd8_like,36,0.09852806,0.11287952214479446,0.01047361809769778,-0.014351465,-1.370249,0.17060917692275535,0.2933280585689478
Itgb2,score_endothelial,36,-0.002248415,0.0016970961587503552,0.02258747196060368,-0.0039455113,-0.17467697,0.8613334650907143,0.8924300654526055
Itgb2,score_malignant,36,0.34552884,0.3169563412666321,0.003065118151056189,0.0285725,9.321827,0.0,0.0
