timepoint,rep,guide,module,n_source,mean_source,mean_ntc,delta,p
Day7,rep1,sgGlb1l2,ifn_response,11,0.10829593986272812,0.04345608875155449,0.06483985483646393,0.9951404333114624
Day7,rep1,sgGlb1l2,malignant,11,-0.012038311921060085,0.026542017236351967,-0.03858032822608948,0.9097813367843628
Day7,rep1,sgGpa33,cd8_like,56,0.1001662164926529,0.06536368280649185,0.03480253368616104,0.39733099937438965
Day7,rep1,sgGpa33,ifn_response,56,0.06333337724208832,0.04345608875155449,0.01987728849053383,0.9980437755584717
Day7,rep1,sgGpa33,malignant,56,-0.005084700882434845,0.026542017236351967,-0.03162671625614166,0.6421844959259033
Day7,rep1,sgIkbip,cd8_like,7,0.15946970880031586,0.06536368280649185,0.094106025993824,0.3602689206600189
Day7,rep1,sgIkbip,ifn_response,7,-0.04384234920144081,0.04345608875155449,-0.0872984379529953,0.7552609443664551
Day7,rep1,sgIkbip,malignant,7,-0.1152753233909607,0.026542017236351967,-0.1418173462152481,0.25992709398269653
Day7,rep1,sgKcna3,cd8_like,32,0.024789398536086082,0.06536368280649185,-0.04057428240776062,0.5294045805931091
Day7,rep1,sgKcna3,ifn_response,32,0.14922592043876648,0.04345608875155449,0.10576982796192169,0.34926366806030273
Day7,rep1,sgKcna3,malignant,32,0.17083284258842468,0.026542017236351967,0.14429081976413727,0.0032267437782138586
Day7,rep1,sgKlrd1,cd8_like,53,0.004915700759738684,0.06536368280649185,-0.06044798344373703,0.386616975069046
Day7,rep1,sgKlrd1,ifn_response,53,0.09393927454948425,0.04345608875155449,0.050483185797929764,0.4571148157119751
Day7,rep1,sgKlrd1,malignant,53,0.09013339132070541,0.026542017236351967,0.0635913759469986,0.14954765141010284
Day7,rep1,sgL3mbtl3,cd8_like,17,0.1198844239115715,0.06536368280649185,0.05452074110507965,0.8843896985054016
Day7,rep1,sgL3mbtl3,ifn_response,17,0.18086612224578857,0.04345608875155449,0.1374100297689438,0.24612993001937866
Day7,rep1,sgL3mbtl3,malignant,17,0.028348002582788467,0.026542017236351967,0.0018059853464365005,0.4374580383300781
Day7,rep1,sgMark3,cd8_like,19,-0.004231582395732403,0.06536368280649185,-0.06959526240825653,0.6660820841789246
Day7,rep1,sgMark3,ifn_response,19,0.04424204304814339,0.04345608875155449,0.0007859542965888977,0.8079721927642822
Day7,rep1,sgMark3,malignant,19,-0.02071116492152214,0.026542017236351967,-0.04725318402051926,0.9709769487380981
Day7,rep1,sgMcoln1,cd8_like,48,0.07808461785316467,0.06536368280649185,0.012720935046672821,0.8960590958595276
Day7,rep1,sgMcoln1,ifn_response,48,0.07031538337469101,0.04345608875155449,0.02685929462313652,0.7899703979492188
Day7,rep1,sgMcoln1,malignant,48,-0.06575550884008408,0.026542017236351967,-0.0922975242137909,0.17722855508327484
Day7,rep1,sgNmb,cd8_like,24,-0.053103696554899216,0.06536368280649185,-0.11846737563610077,0.18888258934020996
Day7,rep1,sgNmb,ifn_response,24,0.12582369148731232,0.04345608875155449,0.08236759901046753,0.45540115237236023
Day7,rep1,sgNmb,malignant,24,-0.09025249630212784,0.026542017236351967,-0.11679451167583466,0.12797564268112183
Day7,rep1,sgPiezo1,cd8_like,20,0.1629062294960022,0.06536368280649185,0.09754254668951035,0.454172819852829
Day7,rep1,sgPiezo1,ifn_response,20,-0.013001968152821064,0.04345608875155449,-0.05645805597305298,0.5665572881698608
Day7,rep1,sgPiezo1,malignant,20,-0.03082367219030857,0.026542017236351967,-0.05736568942666054,0.8292636871337891
Day7,rep1,sgPpia,cd8_like,209,-0.004123386461287737,0.06536368280649185,-0.0694870725274086,0.13873448967933655
Day7,rep1,sgPpia,ifn_response,209,0.05345761775970459,0.04345608875155449,0.0100015290081501,0.7852764129638672
Day7,rep1,sgPpia,malignant,209,0.04837688058614731,0.026542017236351967,0.02183486334979534,0.4235844016075134
Day7,rep1,sgS100a11,cd8_like,20,0.027961503714323044,0.06536368280649185,-0.03740217909216881,1.0
Day7,rep1,sgS100a11,ifn_response,20,-0.025521159172058105,0.04345608875155449,-0.0689772516489029,0.6534051895141602
Day7,rep1,sgS100a11,malignant,20,-0.06051618978381157,0.026542017236351967,-0.08705820888280869,0.42102739214897156
Day7,rep1,sgScamp4,cd8_like,123,0.03350454941391945,0.06536368280649185,-0.0318591333925724,0.49483349919319153
Day7,rep1,sgScamp4,ifn_response,123,0.07463457435369492,0.04345608875155449,0.031178485602140427,0.9330017566680908
Day7,rep1,sgScamp4,malignant,123,0.08667647838592529,0.026542017236351967,0.060134463012218475,0.383181095123291
Day7,rep1,sgSlc39a8,cd8_like,38,0.07554453611373901,0.06536368280649185,0.010180853307247162,0.7834913730621338
Day7,rep1,sgSlc39a8,ifn_response,38,0.035225167870521545,0.04345608875155449,-0.008230920881032944,0.8548518419265747
Day7,rep1,sgSlc39a8,malignant,38,0.0524689257144928,0.026542017236351967,0.02592690847814083,0.1066192090511322
Day7,rep1,sgSorl1,cd8_like,132,0.017605148255825043,0.06536368280649185,-0.04775853455066681,0.2710809111595154
Day7,rep1,sgSorl1,ifn_response,132,0.03938515484333038,0.04345608875155449,-0.004070933908224106,0.9262399077415466
Day7,rep1,sgSorl1,malignant,132,0.04703419283032417,0.026542017236351967,0.020492175593972206,0.12105565518140793
Day7,rep1,sgSrgn,cd8_like,10,0.07756008207798004,0.06536368280649185,0.01219639927148819,0.674585223197937
Day7,rep1,sgSrgn,ifn_response,10,0.05099981278181076,0.04345608875155449,0.007543724030256271,0.9644560217857361
Day7,rep1,sgSrgn,malignant,10,-0.005650436971336603,0.026542017236351967,-0.03219245374202728,0.8418183326721191
Day7,rep1,sgTmem64,cd8_like,149,0.13217227160930634,0.06536368280649185,0.06680858880281448,0.23043011128902435
Day7,rep1,sgTmem64,ifn_response,149,0.05150177329778671,0.04345608875155449,0.008045684546232224,0.8793167471885681
Day7,rep1,sgTmem64,malignant,149,0.10865432024002075,0.026542017236351967,0.08211230486631393,0.007658662274479866
Day7,rep1,sgWipf1,cd8_like,53,-0.02252264693379402,0.06536368280649185,-0.08788633346557617,0.33687978982925415
Day7,rep1,sgWipf1,ifn_response,53,0.10193440318107605,0.04345608875155449,0.05847831442952156,0.7198529243469238
Day7,rep1,sgWipf1,malignant,53,0.014036992564797401,0.026542017236351967,-0.012505024671554565,0.9972963333129883
Day7,rep1,sgZc3h12a,cd8_like,696,0.04562084749341011,0.06536368280649185,-0.01974283531308174,0.7583267688751221
Day7,rep1,sgZc3h12a,ifn_response,696,0.03402552753686905,0.04345608875155449,-0.00943056121468544,0.3304142653942108
Day7,rep1,sgZc3h12a,malignant,696,0.07341189682483673,0.026542017236351967,0.04686988145112991,0.33532261848449707
Day7,rep1,sgZhx2,cd8_like,657,0.05327984690666199,0.06536368280649185,-0.012083835899829865,0.8527097105979919
Day7,rep1,sgZhx2,ifn_response,657,0.06906714290380478,0.04345608875155449,0.02561105415225029,0.6886013150215149
Day7,rep1,sgZhx2,malignant,657,0.02038288675248623,0.026542017236351967,-0.006159130483865738,0.34468281269073486
Day7,rep1,sgZscan12,cd8_like,156,0.05617726221680641,0.06536368280649185,-0.00918642058968544,0.9633858799934387
Day7,rep1,sgZscan12,ifn_response,156,0.022201094776391983,0.04345608875155449,-0.021254993975162506,0.5338760614395142
Day7,rep1,sgZscan12,malignant,156,0.032780274748802185,0.026542017236351967,0.006238257512450218,0.2338268905878067
Day7,rep1,NTC,cd8_like,197,0.06536368280649185,0.06536368280649185,0.0,1.0
Day7,rep1,NTC,ifn_response,197,0.04345608875155449,0.04345608875155449,0.0,1.0
Day7,rep1,NTC,malignant,197,0.026542017236351967,0.026542017236351967,0.0,1.0
Day10,rep1,sgWipf1,cd8_like,16,-0.07006878405809402,-0.07006878405809402,0.0,1.0
Day10,rep1,sgWipf1,ifn_response,16,0.29890334606170654,0.25266870856285095,0.04623463749885559,0.7827659249305725
Day10,rep1,sgWipf1,malignant,16,0.09427274018526077,0.36100277304649353,-0.26673004031181335,0.7646933794021606
Day10,rep1,sgZc3h12a,cd8_like,74,-0.04323606938123703,-0.07006878405809402,0.026832714676856995,0.8124322295188904
Day10,rep1,sgZc3h12a,ifn_response,74,0.029083676636219025,0.25266870856285095,-0.22358503937721252,0.3983306586742401
Day10,rep1,sgZc3h12a,malignant,74,0.10570347309112549,0.36100277304649353,-0.25529929995536804,0.6723370552062988
Day10,rep1,sgZhx2,cd8_like,51,-0.07006878405809402,-0.07006878405809402,0.0,1.0
Day10,rep1,sgZhx2,ifn_response,51,-0.01126236654818058,0.25266870856285095,-0.2639310657978058,0.24959610402584076
Day10,rep1,sgZhx2,malignant,51,0.0020629202481359243,0.36100277304649353,-0.35893985629081726,0.3617328405380249
Day10,rep1,sgZscan12,cd8_like,6,-0.07006878405809402,-0.07006878405809402,0.0,1.0
Day10,rep1,sgZscan12,ifn_response,6,0.11294684559106827,0.25266870856285095,-0.13972187042236328,0.7750292420387268
Day10,rep1,sgZscan12,malignant,6,-0.023075342178344727,0.36100277304649353,-0.38407811522483826,0.461950421333313
Day10,rep1,NTC,cd8_like,6,-0.07006878405809402,-0.07006878405809402,0.0,1.0
Day10,rep1,NTC,ifn_response,6,0.25266870856285095,0.25266870856285095,0.0,1.0
Day10,rep1,NTC,malignant,6,0.36100277304649353,0.36100277304649353,0.0,1.0
