day	guide	inner_buffer	response	response_kind	target_cell_type	block_size	sample_1_patches	sample_2_patches	effect	ci_low	ci_high	permutation_p	replicate_direction_consistency	sample_effect_min	sample_effect_max	spatial_blocks	global_fdr
7	sgZc3h12a	60.0	ifn_response	state	Malignant	200.0	82	30	0.01902994478378839	-0.015750704546178863	0.051514315306913194	0.344	0.5	-0.031777736047903696	0.06983762561548047	112	
7	sgZc3h12a	60.0	macrophage_inflammatory	state	Macrophages	200.0	86	30	0.05230815754806291	0.016980783669864614	0.08909517786173193	0.008	0.5	-0.015164058135692464	0.11978037323181828	116	
7	sgZc3h12a	60.0	macrophage_spp1_trem2	state	Macrophages	200.0	86	30	-0.04330159376931283	-0.10598875899026676	0.013403117246348262	0.156	1.0	-0.05444683333237966	-0.032156354206246	116	
7	sgZc3h12a	60.0	tgfb_ecm	state	Fibroblast	200.0	58	24	-0.031001586006718807	-0.1770652296334698	0.11030149591990325	0.691	0.5	-0.10604198339084785	0.04403881137741023	82	
7	sgGata3	20.0	cytotoxicity	state	T+NK	400.0	31	27	0.03120892747275291	-0.0400309956958573	0.09843481598597736	0.435	0.5	-0.04338716955915574	0.10580502450466156	58	
7	sgGata3	20.0	exhaustion	state	T+NK	400.0	31	27	-0.021703937272301993	-0.04823384684878552	0.00517005143046497	0.097	1.0	-0.03528920549058145	-0.008118669054022542	58	
7	sgGata3	20.0	fraction_DC	composition	DC	400.0	31	27	-0.005165520805328417	-0.014586534541434599	0.003867008053976829	0.299	1.0	-0.007391005999554079	-0.002940035611102755	58	
7	sgGata3	20.0	fraction_Endothelial	composition	Endothelial	400.0	31	27	0.00742361908762493	0.0012047474118696215	0.014968806260439437	0.043	1.0	0.0038941828957913586	0.010953055279458501	58	
7	sgGata3	20.0	fraction_Fibroblast	composition	Fibroblast	400.0	31	27	0.0056708029155183035	-0.009389647343058473	0.02118228750965069	0.52	0.5	-0.0011721329604860507	0.012513738791522658	58	
7	sgGata3	20.0	fraction_Macrophages	composition	Macrophages	400.0	31	27	-0.010080680416115852	-0.04256614511115722	0.020653292090034053	0.549	1.0	-0.018403220172634793	-0.0017581406595969106	58	
7	sgGata3	20.0	fraction_Malignant	composition	Malignant	400.0	31	27	0.005315512389610562	-0.013179797192995897	0.021007934774239238	0.553	0.5	-0.002237400508468352	0.012868425287689476	58	
7	sgGata3	20.0	fraction_NK	composition	NK	400.0	31	27	0.004049394533211012	-0.0017955954478106723	0.010087813118754724	0.205	1.0	0.003305148445540576	0.004793640620881449	58	
7	sgGata3	20.0	fraction_T	composition	T	400.0	31	27	-0.011991032855156653	-0.031813259378114675	0.010108653308422639	0.261	1.0	-0.017271531391140182	-0.006710534319173123	58	
7	sgGata3	20.0	hypoxia	state	Malignant	400.0	31	27	-0.014655678511876501	-0.060293600964165216	0.03855836143157483	0.551	0.5	-0.03051154111181536	0.001200184088062357	58	
7	sgGata3	20.0	ifn_response	state	Malignant	400.0	31	27	0.022866217610888015	-0.02940034022951986	0.07821027577922564	0.422	1.0	0.013395675630481154	0.032336759591294874	58	
7	sgGata3	20.0	macrophage_inflammatory	state	Macrophages	400.0	31	27	-0.010710031132958162	-0.041915308181758364	0.020845222631730848	0.542	1.0	-0.02060614045589201	-0.0008139218100243144	58	
7	sgGata3	20.0	macrophage_spp1_trem2	state	Macrophages	400.0	31	27	-0.0237575465882266	-0.08351645370880799	0.039077448266310204	0.444	1.0	-0.03431525716075191	-0.013199836015701294	58	
7	sgGata3	20.0	tgfb_ecm	state	Fibroblast	400.0	28	25	-0.05289473493184362	-0.18737596083113123	0.06312661282691572	0.447	0.5	-0.19510560163429805	0.0893161317706108	53	
7	sgGata3	40.0	cytotoxicity	state	T+NK	400.0	31	27	0.05337391992231993	-0.02132023286336995	0.13219495266520168	0.181	1.0	0.0007078789414898042	0.10603996090315006	58	0.5067999999999999
7	sgGata3	40.0	exhaustion	state	T+NK	400.0	31	27	-0.025315417702284196	-0.04955727219867565	0.0028153631899042425	0.095	1.0	-0.04630295139166617	-0.004327884012902224	58	0.5067999999999999
7	sgGata3	40.0	fraction_DC	composition	DC	400.0	31	27	-0.0024924708959461594	-0.013115383446985405	0.007739666936000424	0.667	0.5	-0.005712930066367839	0.0007279882744755202	58	0.77616
7	sgGata3	40.0	fraction_Endothelial	composition	Endothelial	400.0	31	27	0.005097568254134738	-0.0023229555398282136	0.012185250721234662	0.178	0.5	-0.0004200439959549125	0.010615180504224388	58	0.5067999999999999
7	sgGata3	40.0	fraction_Fibroblast	composition	Fibroblast	400.0	31	27	0.010267553619107025	-0.009541064388611693	0.028310772148191464	0.245	1.0	0.01016170843399312	0.010373398804220932	58	0.5716666666666667
7	sgGata3	40.0	fraction_Macrophages	composition	Macrophages	400.0	31	27	-0.009564997222110882	-0.04236992853111157	0.0232961323124757	0.596	0.5	-0.020350090446282373	0.0012200960020606092	58	0.7585454545454545
7	sgGata3	40.0	fraction_Malignant	composition	Malignant	400.0	31	27	0.006224389304749486	-0.012084467499990762	0.02639392446466439	0.57	0.5	-0.009053172984405868	0.02150195159390484	58	0.7585454545454545
7	sgGata3	40.0	fraction_NK	composition	NK	400.0	31	27	0.006490996601803163	0.00014198447932179897	0.014441338571179954	0.071	1.0	0.003621743623351058	0.009360249580255267	58	0.5067999999999999
7	sgGata3	40.0	fraction_T	composition	T	400.0	31	27	-0.01509339684141712	-0.0341072620137322	0.006463032045939978	0.153	0.5	-0.03026123775404086	7.444407120662181e-05	58	0.5067999999999999
7	sgGata3	40.0	hypoxia	state	Malignant	400.0	31	27	-0.018369645828307742	-0.07459475099328314	0.041835790158003365	0.546	1.0	-0.023921072723404053	-0.012818218933211433	58	0.7585454545454545
7	sgGata3	40.0	ifn_response	state	Malignant	400.0	31	27	0.03402903546738297	-0.01516292467362858	0.09400682308596503	0.214	1.0	0.024584659823664912	0.04347341111110103	58	0.5447272727272727
7	sgGata3	40.0	macrophage_inflammatory	state	Macrophages	400.0	31	27	-0.008194063660514006	-0.042334922072961655	0.025745484346480482	0.677	0.5	-0.0211243518898564	0.004736224568828389	58	0.77616
7	sgGata3	40.0	macrophage_spp1_trem2	state	Macrophages	400.0	31	27	0.02039849920156039	-0.05105346785513339	0.08612227216629986	0.54	1.0	0.0025491719284365254	0.038247826474684256	58	0.7585454545454545
7	sgGata3	40.0	tgfb_ecm	state	Fibroblast	400.0	28	24	-0.11156621652965744	-0.25051046586484604	0.02974194834241643	0.126	0.5	-0.2608724534511566	0.03774002039184173	52	0.5067999999999999
7	sgGata3	60.0	cytotoxicity	state	T+NK	400.0	29	26	0.09468059716573285	-0.022690280566031517	0.22740342919949427	0.124	1.0	0.05794250682510178	0.13141868750636393	55	
7	sgGata3	60.0	exhaustion	state	T+NK	400.0	29	26	-0.02230255744995584	-0.052177789910827374	0.010511609437611105	0.188	1.0	-0.025802436141440503	-0.018802678758471178	55	
7	sgGata3	60.0	fraction_DC	composition	DC	400.0	31	27	-0.0013340272242974337	-0.011083456265276079	0.009305183038797809	0.813	0.5	-0.004860652755591658	0.0021925983069967904	58	
7	sgGata3	60.0	fraction_Endothelial	composition	Endothelial	400.0	31	27	0.0037242640535338	-0.004568941390579412	0.012625082047518514	0.408	1.0	0.0026268017409493017	0.004821726366118298	58	
7	sgGata3	60.0	fraction_Fibroblast	composition	Fibroblast	400.0	31	27	0.017568983377384544	-0.0036697554970700425	0.03658644397113802	0.121	1.0	0.013130862938235337	0.02200710381653375	58	
7	sgGata3	60.0	fraction_Macrophages	composition	Macrophages	400.0	31	27	-0.007643051288421883	-0.04646083722307621	0.032321727927817484	0.747	0.5	-0.022366788734910485	0.0070806861580667195	58	
7	sgGata3	60.0	fraction_Malignant	composition	Malignant	400.0	31	27	-0.01294709346086647	-0.03914558004918739	0.011791001058326608	0.325	0.5	-0.03521522516513378	0.009321038243400836	58	
