entity_id	sample	target_gene	guide	ring_id	ring_start_um	ring_end_um	total_bins	malignant_bins	malignant_fraction	malignant_hypoxia_score_mean	malignant_ifn_response_score_mean	whole_neighbourhood_hypoxia_score_mean	whole_neighbourhood_ifn_response_score_mean
clone_000126	subQ-2	Rab8a	sgRab8a_1	0	0.0	20.0	225	88	0.39111111111111113	0.46689072810065807	0.07384927999955976	0.4903904341759739	0.09650438088896265
clone_000126	subQ-2	Rab8a	sgRab8a_1	1	20.0	40.0	210	66	0.3142857142857143	0.4851356724785735	0.16171523627209952	0.4354892393238132	0.18485752169923844
clone_000126	subQ-2	Rab8a	sgRab8a_1	2	40.0	80.0	499	107	0.21442885771543085	0.5809677049330972	0.25060918118519304	0.4364807927591126	0.2840123300559608
clone_000126	subQ-2	Rab8a	sgRab8a_1	3	80.0	120.0	641	131	0.20436817472698907	0.4738329127972744	0.23343163940737413	0.3703294743444844	0.25264418074220457
clone_000126	subQ-2	Rab8a	sgRab8a_1	4	120.0	200.0	1798	317	0.17630700778642935	0.44683201518013527	0.1974965801415835	0.3711306682470067	0.2673457788165475
clone_000153	subQ-4	Rab8a	sgRab8a_1	0	0.0	20.0	249	104	0.41767068273092367	0.6327635441405962	0.13266065327678372	0.5459918893494877	0.13104089784063386
clone_000153	subQ-4	Rab8a	sgRab8a_1	1	20.0	40.0	218	58	0.26605504587155965	0.5691383083318113	0.11628018429576632	0.4948741268118358	0.14559844917302628
clone_000153	subQ-4	Rab8a	sgRab8a_1	2	40.0	80.0	513	128	0.24951267056530213	0.4132005326001489	0.10339087436733767	0.366620565467549	0.15699337502750718
clone_000153	subQ-4	Rab8a	sgRab8a_1	3	80.0	120.0	657	148	0.2252663622526636	0.48751822257533534	0.1749552740521895	0.3742986996800203	0.2345547345929423
clone_000153	subQ-4	Rab8a	sgRab8a_1	4	120.0	200.0	1828	322	0.1761487964989059	0.3829345210185178	0.2878369007765804	0.3469353516602805	0.3069564680122209
clone_000170	subQ-5	Rab8a	sgRab8a_1	0	0.0	20.0	98	39	0.3979591836734694	0.5529149153588028	0.025449043033973204	0.4870938262648136	0.07024832865199368
clone_000170	subQ-5	Rab8a	sgRab8a_1	1	20.0	40.0	141	39	0.2765957446808511	0.5063691829286835	0.0563637705315954	0.449598914980316	0.10487947664687504
clone_000170	subQ-5	Rab8a	sgRab8a_1	2	40.0	80.0	371	99	0.2668463611859838	0.5342897380202821	0.12507281840135379	0.4233386843795985	0.1639915374350756
clone_000170	subQ-5	Rab8a	sgRab8a_1	3	80.0	120.0	518	113	0.21814671814671815	0.4114113714306465	0.13080308561091808	0.4264963329297619	0.1718119165844767
clone_000170	subQ-5	Rab8a	sgRab8a_1	4	120.0	200.0	1546	360	0.23285899094437257	0.4015493404692287	0.19361115675499707	0.39546050371381386	0.2269623940350665
clone_000172	subQ-5	Rab8a	sgRab8a_1	0	0.0	20.0	119	46	0.3865546218487395	0.511901293075659	0.08851834188645272	0.5122917250520556	0.1055720989016257
clone_000172	subQ-5	Rab8a	sgRab8a_1	1	20.0	40.0	147	47	0.3197278911564626	0.5329149497600704	0.11877022828277752	0.3691296864845315	0.13332145219966074
clone_000172	subQ-5	Rab8a	sgRab8a_1	2	40.0	80.0	393	85	0.21628498727735368	0.5491393802303707	0.16999731908070687	0.433278065778531	0.18637096373652903
clone_000172	subQ-5	Rab8a	sgRab8a_1	3	80.0	120.0	459	95	0.20697167755991286	0.3504755313344348	0.1775851038132962	0.3166855302617123	0.17722016661323736
clone_000172	subQ-5	Rab8a	sgRab8a_1	4	120.0	200.0	1151	195	0.16941789748045177	0.34116332271090527	0.2011380924195083	0.3242224530159768	0.18381270924388265
