barcode	sample	clone_id	target_gene	x_um	y_um
s_008um_00384_00119-1	lm994	lm994_MC0008	Ccn1	952.0	3072.0
s_008um_00384_00121-1	lm994	lm994_MC0008	Ccn1	968.0	3072.0
s_008um_00411_00118-1	lm994	lm994_MC0006	Ccn1	944.0	3288.0
s_008um_00415_00123-1	lm994	lm994_MC0006	Ccn1	984.0	3320.0
s_008um_00385_00124-1	lm994	lm994_MC0005	Ccn1	992.0	3080.0
s_008um_00415_00111-1	lm994	lm994_MC0006	Ccn1	888.0	3320.0
s_008um_00390_00118-1	lm994	lm994_MC0008	Ccn1	944.0	3120.0
s_008um_00386_00131-1	lm994	lm994_MC0005	Ccn1	1048.0	3088.0
s_008um_00389_00128-1	lm994	lm994_MC0005	Ccn1	1024.0	3112.0
s_008um_00385_00137-1	lm994	lm994_MC0005	Ccn1	1096.0	3080.0
s_008um_00388_00124-1	lm994	lm994_MC0005	Ccn1	992.0	3104.0
s_008um_00387_00140-1	lm994	lm994_MC0005	Ccn1	1120.0	3096.0
s_008um_00392_00125-1	lm994	lm994_MC0005	Ccn1	1000.0	3136.0
s_008um_00388_00116-1	lm994	lm994_MC0008	Ccn1	928.0	3104.0
s_008um_00419_00139-1	lm994	lm994_MC0004	Ccn1	1112.0	3352.0
s_008um_00388_00128-1	lm994	lm994_MC0005	Ccn1	1024.0	3104.0
s_008um_00411_00122-1	lm994	lm994_MC0006	Ccn1	976.0	3288.0
s_008um_00387_00137-1	lm994	lm994_MC0005	Ccn1	1096.0	3096.0
s_008um_00382_00114-1	lm994	lm994_MC0008	Ccn1	912.0	3056.0
s_008um_00387_00125-1	lm994	lm994_MC0005	Ccn1	1000.0	3096.0
s_008um_00403_00137-1	lm994	lm994_MC0005	Ccn1	1096.0	3224.0
s_008um_00389_00142-1	lm994	lm994_MC0005	Ccn1	1136.0	3112.0
s_008um_00397_00125-1	lm994	lm994_MC0005	Ccn1	1000.0	3176.0
s_008um_00413_00148-1	lm994	lm994_MC0004	Ccn1	1184.0	3304.0
s_008um_00392_00129-1	lm994	lm994_MC0005	Ccn1	1032.0	3136.0
s_008um_00406_00116-1	lm994	lm994_MC0005	Ccn1	928.0	3248.0
s_008um_00424_00143-1	lm994	lm994_MC0004	Ccn1	1144.0	3392.0
s_008um_00378_00122-1	lm994	lm994_MC0008	Ccn1	976.0	3024.0
s_008um_00432_00137-1	lm994	lm994_MC0007	Ccn1	1096.0	3456.0
s_008um_00385_00117-1	lm994	lm994_MC0008	Ccn1	936.0	3080.0
s_008um_00403_00113-1	lm994	lm994_MC0005	Ccn1	904.0	3224.0
s_008um_00399_00133-1	lm994	lm994_MC0005	Ccn1	1064.0	3192.0
s_008um_00396_00126-1	lm994	lm994_MC0005	Ccn1	1008.0	3168.0
s_008um_00393_00123-1	lm994	lm994_MC0005	Ccn1	984.0	3144.0
s_008um_00411_00119-1	lm994	lm994_MC0006	Ccn1	952.0	3288.0
s_008um_00403_00111-1	lm994	lm994_MC0005	Ccn1	888.0	3224.0
s_008um_00417_00118-1	lm994	lm994_MC0006	Ccn1	944.0	3336.0
s_008um_00388_00137-1	lm994	lm994_MC0005	Ccn1	1096.0	3104.0
s_008um_00387_00120-1	lm994	lm994_MC0008	Ccn1	960.0	3096.0
