anchor_id	patch_id	sample	day	replicate	guide	center_x	center_y	source_bins	mean_guide_total	mean_top_fraction	strict_fraction	edge_distance	posterior_mean	posterior_max
Day7_rep2_A001674	Day7_rep2_P001674	Day7_rep2	7	2	sgGata3	739.0	6519.0	2	1.0	1.0	0.0	742.4284477308233	0.16199337	0.16199337
Day7_rep2_A001689	Day7_rep2_P001689	Day7_rep2	7	2	sgGata3	419.0	4459.5	2	1.0	1.0	0.0	20.0	0.16199337	0.16199337
Day7_rep2_A001692	Day7_rep2_P001692	Day7_rep2	7	2	sgGata3	17549.0	4649.0	1	2.0	1.0	1.0	80.0	0.19564115	0.19564115
Day7_rep2_A001698	Day7_rep2_P001698	Day7_rep2	7	2	sgGata3	17169.0	5329.0	1	2.0	1.0	1.0	80.0	0.037685476	0.037685476
Day7_rep2_A001729	Day7_rep2_P001729	Day7_rep2	7	2	sgGata3	3079.0	519.0	2	1.0	1.0	0.0	140.0	0.16199337	0.16199337
Day7_rep2_A001734	Day7_rep2_P001734	Day7_rep2	7	2	sgGata3	8739.0	3179.0	2	1.0	1.0	0.0	126.49110640673518	0.16199337	0.16199337
Day7_rep2_A001753	Day7_rep2_P001753	Day7_rep2	7	2	sgGata3	11469.0	3149.0	1	2.0	1.0	1.0	40.0	0.19564115	0.19564115
Day7_rep2_A001771	Day7_rep2_P001771	Day7_rep2	7	2	sgGata3	5069.0	1689.0	1	2.0	1.0	1.0	120.0	0.19564115	0.19564115
Day7_rep2_A001773	Day7_rep2_P001773	Day7_rep2	7	2	sgGata3	10949.0	3109.0	1	2.0	1.0	1.0	100.0	0.037685476	0.037685476
Day7_rep2_A001776	Day7_rep2_P001776	Day7_rep2	7	2	sgGata3	16439.5	4759.5	2	1.5	1.0	0.5	20.0	0.17881726	0.19564115
Day7_rep2_A001786	Day7_rep2_P001786	Day7_rep2	7	2	sgGata3	12089.0	3069.0	1	2.0	1.0	1.0	60.0	0.19564115	0.19564115
Day7_rep2_A001805	Day7_rep2_P001805	Day7_rep2	7	2	sgGata3	9179.0	4639.0	2	1.0	1.0	0.0	80.0	0.16199337	0.16199337
Day7_rep2_A001836	Day7_rep2_P001836	Day7_rep2	7	2	sgGata3	6099.0	1719.0	2	1.0	1.0	0.0	80.0	0.16199337	0.16199337
Day7_rep2_A001860	Day7_rep2_P001860	Day7_rep2	7	2	sgGata3	3609.0	3869.0	1	2.0	1.0	1.0	140.0	0.19564115	0.19564115
Day7_rep2_A001864	Day7_rep2_P001864	Day7_rep2	7	2	sgGata3	5879.5	6699.0	2	1.0	1.0	0.0	20.0	0.16199337	0.16199337
Day7_rep2_A001873	Day7_rep2_P001873	Day7_rep2	7	2	sgGata3	4369.0	8029.0	1	2.0	1.0	1.0	100.0	0.19564115	0.19564115
Day7_rep2_A001875	Day7_rep2_P001875	Day7_rep2	7	2	sgGata3	4999.0	559.0	2	1.0	1.0	0.0	340.0	0.16199337	0.16199337
Day7_rep2_A001893	Day7_rep2_P001893	Day7_rep2	7	2	sgGata3	9809.0	4609.0	1	2.0	1.0	1.0	20.0	0.19564115	0.19564115
Day7_rep2_A001909	Day7_rep2_P001909	Day7_rep2	7	2	sgGata3	7789.0	8719.0	2	1.0	1.0	0.0	120.0	0.16199337	0.16199337
Day7_rep2_A001938	Day7_rep2_P001938	Day7_rep2	7	2	sgGata3	3109.0	6269.0	1	2.0	1.0	1.0	120.0	0.037685476	0.037685476
Day7_rep2_A001968	Day7_rep2_P001968	Day7_rep2	7	2	sgGata3	4129.0	5349.0	1	2.0	1.0	1.0	60.0	0.19564115	0.19564115
Day7_rep2_A001989	Day7_rep2_P001989	Day7_rep2	7	2	sgGata3	18269.0	5139.0	2	1.0	1.0	0.0	260.0	0.16199337	0.16199337
Day7_rep2_A002010	Day7_rep2_P002010	Day7_rep2	7	2	sgGata3	5889.0	1089.0	1	2.0	1.0	1.0	20.0	0.19564115	0.19564115
Day7_rep2_A002012	Day7_rep2_P002012	Day7_rep2	7	2	sgGata3	4009.0	3809.0	1	2.0	1.0	1.0	60.0	0.037685476	0.037685476
Day7_rep2_A002032	Day7_rep2_P002032	Day7_rep2	7	2	sgGata3	2299.0	3789.0	2	1.0	1.0	0.0	40.0	0.16199337	0.16199337
Day7_rep2_A002042	Day7_rep2_P002042	Day7_rep2	7	2	sgGata3	12039.5	2849.0	2	1.0	1.0	0.0	160.0	0.16199337	0.16199337
Day7_rep2_A002053	Day7_rep2_P002053	Day7_rep2	7	2	sgGata3	2799.0	1209.0	2	1.0	1.0	0.0	420.0	0.16199337	0.16199337
Day7_rep2_A002057	Day7_rep2_P002057	Day7_rep2	7	2	sgGata3	17689.0	5089.0	1	2.0	1.0	1.0	60.0	0.19564115	0.19564115
Day7_rep2_A002066	Day7_rep2_P002066	Day7_rep2	7	2	sgGata3	4369.0	3389.0	1	2.0	1.0	1.0	300.0	0.19564115	0.19564115
Day7_rep2_A002075	Day7_rep2_P002075	Day7_rep2	7	2	sgGata3	2909.0	7289.0	1	2.0	1.0	1.0	320.0	0.19564115	0.19564115
Day7_rep2_A002098	Day7_rep2_P002098	Day7_rep2	7	2	sgGata3	8209.0	8689.0	1	2.0	1.0	1.0	60.0	0.037685476	0.037685476
Day7_rep2_A002107	Day7_rep2_P002107	Day7_rep2	7	2	sgGata3	1549.0	5809.0	1	2.0	1.0	1.0	160.0	0.037685476	0.037685476
Day7_rep2_A002112	Day7_rep2_P002112	Day7_rep2	7	2	sgGata3	14699.5	859.0	2	1.0	1.0	0.0	156.20499351813308	0.16199337	0.16199337
Day7_rep2_A002140	Day7_rep2_P002140	Day7_rep2	7	2	sgGata3	3489.0	3529.0	1	2.0	1.0	1.0	200.0	0.037685476	0.037685476
Day7_rep2_A002168	Day7_rep2_P002168	Day7_rep2	7	2	sgGata3	8349.0	3019.5	2	1.0	1.0	0.0	20.0	0.16199337	0.16199337
Day7_rep2_A002186	Day7_rep2_P002186	Day7_rep2	7	2	sgGata3	6249.0	8769.0	1	2.0	1.0	1.0	120.0	0.037685476	0.037685476
Day7_rep2_A002192	Day7_rep2_P002192	Day7_rep2	7	2	sgGata3	16469.0	5679.0	2	1.0	1.0	0.0	40.0	0.16199337	0.16199337
Day7_rep2_A002207	Day7_rep2_P002207	Day7_rep2	7	2	sgGata3	16809.0	5789.0	1	2.0	1.0	1.0	140.0	0.19564115	0.19564115
Day7_rep2_A002231	Day7_rep2_P002231	Day7_rep2	7	2	sgGata3	9279.0	959.0	2	1.5	1.0	0.5	180.0	0.17881726	0.19564115
Day7_rep2_A002238	Day7_rep2_P002238	Day7_rep2	7	2	sgGata3	12439.0	2279.0	2	1.0	1.0	0.0	240.0	0.16199337	0.16199337
Day7_rep2_A002244	Day7_rep2_P002244	Day7_rep2	7	2	sgGata3	9969.0	3189.0	1	2.0	1.0	1.0	140.0	0.037685476	0.037685476
Day7_rep2_A002255	Day7_rep2_P002255	Day7_rep2	7	2	sgGata3	3589.0	4509.0	1	3.0	1.0	1.0	60.0	0.19564115	0.19564115
Day7_rep2_A002282	Day7_rep2_P002282	Day7_rep2	7	2	sgGata3	10169.0	7809.0	1	2.0	1.0	1.0	120.0	0.037685476	0.037685476
Day7_rep2_A002283	Day7_rep2_P002283	Day7_rep2	7	2	sgGata3	4989.0	8789.0	1	2.0	1.0	1.0	100.0	0.037685476	0.037685476
Day7_rep2_A002299	Day7_rep2_P002299	Day7_rep2	7	2	sgGata3	1269.0	7769.0	1	2.0	1.0	1.0	80.0	0.037685476	0.037685476
Day7_rep2_A002331	Day7_rep2_P002331	Day7_rep2	7	2	sgGata3	7789.0	4889.0	1	2.0	1.0	1.0	120.0	0.037685476	0.037685476
Day7_rep2_A002336	Day7_rep2_P002336	Day7_rep2	7	2	sgGata3	4929.0	7649.0	1	2.0	1.0	1.0	40.0	0.19564115	0.19564115
Day7_rep2_A002503	Day7_rep2_P002503	Day7_rep2	7	2	sgGata3	9609.0	2109.0	1	2.0	1.0	1.0	60.0	0.037685476	0.037685476
Day7_rep2_A002586	Day7_rep2_P002586	Day7_rep2	7	2	sgGata3	4829.0	3909.0	1	2.0	1.0	1.0	160.0	0.037685476	0.037685476
